道具,品阶,道具分类,适用职业,掉落来源(怪物),地图,刷新点位,道具属性,掉落概率,是否可制作,制作材料
盔甲魔法卷轴,普通,材料,全职业,多罗,古鲁丁,"419,723,0~480,861,0²; 481,723,0~567,801,0²; 480,801,0~550,902,0²; 548,901,0~646,975,0²; 550,854,0~646,901,0²; 550,801,0~646,854,0²; 567,723,0~645,801,0²; 645,723,0~720,830,0²; 646,830,0~722,940,0²",无属性,0.05%,否,
蓝宝石,普通,材料,全职业,多罗,古鲁丁,"419,723,0~480,861,0²; 481,723,0~567,801,0²; 480,801,0~550,902,0²; 548,901,0~646,975,0²; 550,854,0~646,901,0²; 550,801,0~646,854,0²; 567,723,0~645,801,0²; 645,723,0~720,830,0²; 646,830,0~722,940,0²",无属性,0.1%,否,
木材,普通,材料,全职业,妖魔弓箭手,古鲁丁,"509,454,0~617,354,0²; 457,509,0~523,621,0²; 523,534,0~657,598,0²; 523,598,0~680,659,0²; 523,659,0~607,723,0²; 459,621,0~523,723,0²",无属性,0.1%,否,
水灵手套,普通,防具,全职业,妖魔弓箭手,古鲁丁,"509,454,0~617,354,0²; 457,509,0~523,621,0²; 523,534,0~657,598,0²; 523,598,0~680,659,0²; 523,659,0~607,723,0²; 459,621,0~523,723,0²",力量: 1; MP恢复tic: 1,0.8%,否,
自我加速药水,普通,消耗品,全职业,妖魔弓箭手,古鲁丁,"509,454,0~617,354,0²; 457,509,0~523,621,0²; 523,534,0~657,598,0²; 523,598,0~680,659,0²; 523,659,0~607,723,0²; 459,621,0~523,723,0²",无属性,5%,否,
链甲,普通,防具,全职业,妖魔弓箭手,古鲁丁,"509,454,0~617,354,0²; 457,509,0~523,621,0²; 523,534,0~657,598,0²; 523,598,0~680,659,0²; 523,659,0~607,723,0²; 459,621,0~523,723,0²",物理防御力（AC）: 5,2%,否,
水灵手套,普通,防具,全职业,妖魔战士,古鲁丁,"509,454,0~617,354,0²; 457,509,0~523,621,0²; 523,534,0~657,598,0²; 523,598,0~680,659,0²; 523,659,0~607,723,0²; 459,621,0~523,723,0²",力量: 1; MP恢复tic: 1,0.8%,否,
自我加速药水,普通,消耗品,全职业,妖魔战士,古鲁丁,"509,454,0~617,354,0²; 457,509,0~523,621,0²; 523,534,0~657,598,0²; 523,598,0~680,659,0²; 523,659,0~607,723,0²; 459,621,0~523,723,0²",无属性,5%,否,
火灵手套,普通,防具,全职业,妖魔魔法师,古鲁丁,"509,454,0~617,354,0²; 457,509,0~523,621,0²; 523,534,0~657,598,0²; 523,598,0~680,659,0²; 523,659,0~607,723,0²; 459,621,0~523,723,0²",力量: 1; MP恢复tic: 1,0.8%,否,
自我加速药水,普通,消耗品,全职业,妖魔魔法师,古鲁丁,"509,454,0~617,354,0²; 457,509,0~523,621,0²; 523,534,0~657,598,0²; 523,598,0~680,659,0²; 523,659,0~607,723,0²; 459,621,0~523,723,0²",无属性,5%,否,
链甲,普通,防具,全职业,妖魔魔法师,古鲁丁,"509,454,0~617,354,0²; 457,509,0~523,621,0²; 523,534,0~657,598,0²; 523,598,0~680,659,0²; 523,659,0~607,723,0²; 459,621,0~523,723,0²",物理防御力（AC）: 5,2%,否,
T恤,普通,防具,全职业,杀戮者,古鲁丁,"345,238,0",无属性,0.01%,否,
力量手套,普通,防具,全职业,杀戮者,古鲁丁,"345,238,0",力量: 2,0.01%,是,"材料ID:2041,2708,2097,2740 x1,80,240,30 (概率: 100.0%)"
力量项链,普通,防具,全职业,杀戮者,古鲁丁,"345,238,0",力量: 1,0.01%,否,
品质绿宝石,普通,材料,全职业,杀戮者,古鲁丁,"345,238,0",无属性,0.01%,是,绿宝石 x10 (概率: 100.0%)
品质蓝宝石,普通,材料,全职业,杀戮者,古鲁丁,"345,238,0",无属性,2.5%,是,蓝宝石 x10 (概率: 100.0%)
品质钻石,普通,材料,全职业,杀戮者,古鲁丁,"345,238,0",无属性,1%,是,钻石 x10 (概率: 100.0%)
品质钻石,普通,材料,全职业,杀戮者,古鲁丁,"345,238,0",无属性,2.5%,是,钻石 x10 (概率: 100.0%)
敏捷项链,普通,防具,全职业,杀戮者,古鲁丁,"345,238,0",敏捷: 1,0.01%,否,
智力项链,普通,防具,全职业,杀戮者,古鲁丁,"345,238,0",智力: 1,0.01%,否,
武器魔法卷轴,普通,材料,全职业,杀戮者,古鲁丁,"345,238,0",无属性,0.05%,否,
灭魔戒指,普通,防具,全职业,杀戮者,古鲁丁,"345,238,0",魔法防御（MR）: 10,0.01%,否,
玛娜药水,普通,消耗品,全职业,杀戮者,古鲁丁,"345,238,0",无属性,1%,否,
盔甲魔法卷轴,普通,材料,全职业,杀戮者,古鲁丁,"345,238,0",无属性,2.5%,否,
盔甲魔法卷轴,普通,材料,全职业,杀戮者,古鲁丁,"345,238,0",无属性,0.05%,否,
精神腰带,普通,防具,全职业,杀戮者,古鲁丁,"345,238,0",最大MP&固定值: 50,0.01%,否,
精神项链,普通,防具,全职业,杀戮者,古鲁丁,"345,238,0",精神: 1,0.01%,否,
红宝石,普通,材料,全职业,杀戮者,古鲁丁,"345,238,0",无属性,0.1%,否,
绿宝石,普通,材料,全职业,杀戮者,古鲁丁,"345,238,0",无属性,0.1%,否,
蓝宝石,普通,材料,全职业,杀戮者,古鲁丁,"345,238,0",无属性,0.1%,否,
钻石,普通,材料,全职业,杀戮者,古鲁丁,"345,238,0",无属性,0.1%,否,
武器魔法卷轴,普通,材料,全职业,杨果里恩,古鲁丁,"607,659,0~719,723,0²",无属性,0.05%,否,
盔甲魔法卷轴,普通,材料,全职业,杨果里恩,古鲁丁,"607,659,0~719,723,0²",无属性,0.05%,否,
武器魔法卷轴,普通,材料,全职业,欧吉,古鲁丁,"419,723,0~480,861,0²; 481,723,0~567,801,0²; 480,801,0~550,902,0²; 548,901,0~646,975,0²; 550,854,0~646,901,0²; 550,801,0~646,854,0²; 567,723,0~645,801,0²; 645,723,0~720,830,0²; 646,830,0~722,940,0²",无属性,0.05%,否,
